episode,agent,reward,steps
0,agente_fixo,0.97,4
0,agente_q,0.97,4
1,agente_fixo,71.97,75
1,agente_q,0.25999999999999956,75
2,agente_fixo,49.97,53
2,agente_q,0.47999999999999976,53
3,agente_fixo,25.97,29
3,agente_q,0.72,29
4,agente_fixo,5.97,9
4,agente_q,0.92,9
5,agente_fixo,51.97,55
5,agente_q,0.45999999999999974,55
6,agente_fixo,28.97,32
6,agente_q,0.69,32
7,agente_fixo,1.97,5
7,agente_q,0.96,5
8,agente_fixo,7.97,11
8,agente_q,0.9,11
9,agente_fixo,73.97,77
9,agente_q,0.23999999999999955,77
10,agente_fixo,8.969999999999999,12
10,agente_q,0.89,12
11,agente_fixo,17.97,21
11,agente_q,0.7999999999999999,21
12,agente_fixo,35.97,39
12,agente_q,0.6199999999999999,39
13,agente_fixo,16.97,20
13,agente_q,0.8099999999999999,20
14,agente_fixo,28.97,32
14,agente_q,0.69,32
15,agente_fixo,3.9699999999999998,7
15,agente_q,0.94,7
16,agente_fixo,7.97,11
16,agente_q,0.9,11
17,agente_fixo,68.97,72
17,agente_q,0.2899999999999996,72
18,agente_fixo,80.97,84
18,agente_q,0.16999999999999948,84
19,agente_fixo,49.97,53
19,agente_q,0.47999999999999976,53
20,agente_fixo,28.97,32
20,agente_q,0.69,32
21,agente_fixo,51.97,55
21,agente_q,0.45999999999999974,55
22,agente_fixo,50.97,54
22,agente_q,0.46999999999999975,54
23,agente_fixo,115.97,119
23,agente_q,-0.18000000000000083,119
24,agente_fixo,13.969999999999999,17
24,agente_q,0.84,17
25,agente_fixo,9.969999999999999,13
25,agente_q,0.88,13
26,agente_fixo,39.97,43
26,agente_q,0.5799999999999998,43
27,agente_fixo,19.97,23
27,agente_q,0.7799999999999999,23
28,agente_fixo,45.97,49
28,agente_q,0.5199999999999998,49
29,agente_fixo,14.969999999999999,18
29,agente_q,0.83,18
30,agente_fixo,45.97,49
30,agente_q,0.5199999999999998,49
31,agente_fixo,45.97,49
31,agente_q,0.5199999999999998,49
32,agente_fixo,9.969999999999999,13
32,agente_q,0.88,13
33,agente_fixo,81.97,85
33,agente_q,0.15999999999999948,85
34,agente_fixo,40.97,44
34,agente_q,0.5699999999999998,44
35,agente_fixo,59.97,63
35,agente_q,0.37999999999999967,63
36,agente_fixo,49.97,53
36,agente_q,0.47999999999999976,53
37,agente_fixo,90.97,94
37,agente_q,0.0699999999999994,94
38,agente_fixo,2.9699999999999998,6
38,agente_q,0.95,6
39,agente_fixo,16.97,20
39,agente_q,0.8099999999999999,20
